5.0, 20.0, 16.0, Fitness, 0, Fatigue, 0, Form, 0
9.0, 6.0, 16.0, Fitness, 81.13779939421734, Fatigue, 81.22463642763643, Form, -0.0868370334190871
9.0, 7.0, 16.0, Fitness, 79.20594702768835, Fatigue, 73.10217278487278, Form, 6.103774242815575
9.0, 8.0, 16.0, Fitness, 77.32009114607672, Fatigue, 65.7919555063855, Form, 11.528135639691214
9.0, 9.0, 16.0, Fitness, 79.1219937378368, Fatigue, 74.51275995574696, Form, 4.609233782089845
9.0, 10.0, 16.0, Fitness, 77.23813674407879, Fatigue, 67.06148396017227, Form, 10.176652783906519
9.0, 11.0, 16.0, Fitness, 80.06580015493405, Fatigue, 79.95533556415504, Form, 0.11046459077901716
9.0, 12.0, 16.0, Fitness, 80.3928049131499, Fatigue, 81.33980200773954, Form, -0.9469970945896335
9.0, 13.0, 16.0, Fitness, 81.43107146283681, Fatigue, 85.60582180696558, Form, -4.174750344128768
9.0, 14.0, 16.0, Fitness, 81.31842690419784, Fatigue, 84.71523962626902, Form, -3.3968127220711892
9.0, 15.0, 16.0, Fitness, 82.19179769219312, Fatigue, 88.04371566364212, Form, -5.851917971448998
9.0, 16.0, 16.0, Fitness, 82.0086596519028, Fatigue, 86.68934409727791, Form, -4.680684445375107
9.0, 17.0, 16.0, Fitness, 80.05607251733369, Fatigue, 78.02040968755011, Form, 2.0356628297835755
9.0, 18.0, 16.0, Fitness, 78.14997555263527, Fatigue, 70.2183687187951, Form, 7.9316068338401635
9.0, 19.0, 16.0, Fitness, 76.2892618490011, Fatigue, 63.1965318469156, Form, 13.092730002085496
9.0, 20.0, 16.0, Fitness, 76.47999370973916, Fatigue, 65.30687866222404, Form, 11.173115047515125
9.0, 20.0, 16.0, Fitness, 74.6590414785549, Fatigue, 58.776190796001636, Form, 15.882850682553261
9.0, 21.0, 16.0, Fitness, 72.88144525287503, Fatigue, 52.89857171640147, Form, 19.982873536473555
9.0, 22.0, 16.0, Fitness, 73.7414108420923, Fatigue, 58.508714544761325, Form, 15.232696297330968
9.0, 23.0, 16.0, Fitness, 71.98566296489962, Fatigue, 52.65784309028519, Form, 19.327819874614427
9.0, 24.0, 16.0, Fitness, 71.42171860859249, Fatigue, 52.22205878125667, Form, 19.199659827335815
9.0, 25.0, 16.0, Fitness, 69.72120149886409, Fatigue, 46.999852903131, Form, 22.72134859573309
9.0, 26.0, 16.0, Fitness, 68.06117289174828, Fatigue, 42.2998676128179, Form, 25.761305278930386
9.0, 27.0, 16.0, Fitness, 68.89304972765905, Fatigue, 48.36988085153611, Form, 20.523168876122938
9.0, 28.0, 16.0, Fitness, 73.99083425795288, Fatigue, 71.8328927663825, Form, 2.1579414915703836
9.0, 29.0, 16.0, Fitness, 74.72914772800162, Fatigue, 75.14960348974425, Form, -0.42045576174263033
9.0, 30.0, 16.0, Fitness, 75.0570251630492, Fatigue, 76.48464314076983, Form, -1.4276179777206295
10.0, 1.0, 16.0, Fitness, 73.26995313535755, Fatigue, 68.83617882669284, Form, 4.4337743086647095
10.0, 2.0, 16.0, Fitness, 71.52543044165857, Fatigue, 61.95256094402356, Form, 9.572869497635011
10.0, 3.0, 16.0, Fitness, 69.82244400257146, Fatigue, 55.75730484962121, Form, 14.065139152950252
10.0, 4.0, 16.0, Fitness, 71.82667152631976, Fatigue, 65.58157436465909, Form, 6.2450971616606665
10.0, 5.0, 16.0, Fitness, 70.116512680455, Fatigue, 59.02341692819318, Form, 11.093095752261824
10.0, 6.0, 16.0, Fitness, 70.70659571187274, Fatigue, 62.61107523537386, Form, 8.095520476498876
10.0, 7.0, 16.0, Fitness, 70.55167676635196, Fatigue, 62.76996771183647, Form, 7.781709054515488
10.0, 8.0, 16.0, Fitness, 70.99330351001025, Fatigue, 65.40297094065282, Form, 5.590332569357429
10.0, 9.0, 16.0, Fitness, 69.30298675977191, Fatigue, 58.86267384658754, Form, 10.440312913184371
10.0, 10.0, 16.0, Fitness, 67.65291564644401, Fatigue, 52.97640646192879, Form, 14.676509184515226
10.0, 11.0, 16.0, Fitness, 66.0421319405763, Fatigue, 47.67876581573591, Form, 18.36336612484039
